INSTALLED PACKAGES, CHANNEL PEAR.PHP.NET:
=========================================
PACKAGE                    VERSION     STATE
adodb                      4.990       stable
Archive_Tar                1.3.2       stable
Archive_Zip                0.1.1       beta
Auth                       1.6.1       stable
Auth_SASL                  1.0.2       stable
Benchmark                  1.2.7       stable
Cache                      1.5.5       stable
Cache_Lite                 1.7.4       stable
Calendar                   0.5.4       beta
Config                     1.10.11     stable
Console_Color              1.0.2       stable
Console_CommandLine        1.0.5       stable
Console_Getargs            1.3.4       stable
Console_Getopt             1.2.3       stable
Console_ProgressBar        0.5.2beta   beta
Console_Table              1.1.3       stable
Crypt_CHAP                 1.0.1       stable
DB                         1.7.13      stable
DB_DataObject              1.8.8       stable
Date                       1.4.7       stable
Event_Dispatcher           1.0.0       stable
File                       1.3.0       stable
File_Find                  1.3.0       stable
File_PDF                   0.3.2       beta
HTML_Common                1.2.4       stable
HTML_Form                  1.3.0       stable
HTML_Page                  2.0.0RC2    beta
HTML_Table                 1.8.2       stable
HTTP                       1.4.1       stable
HTTP_Download              1.1.3       stable
HTTP_Header                1.2.0       stable
HTTP_Request               1.4.4       stable
I18Nv2                     0.11.4      beta
Image_Barcode              1.1.0       stable
Image_Color                1.0.2       stable
Image_Tools                1.0.0RC1    beta
Log                        1.11.3      stable
MDB                        1.3.0       stable
MDB2                       2.4.1       stable
MIME_Type                  1.1.3       stable
MP3_Id                     1.2.1       stable
MP3_Playlist               0.5.1alpha1 alpha
Mail                       1.1.14      stable
Mail_Mime                  1.5.2       stable
Mail_mimeDecode            1.5.0       stable
Math_Basex                 0.3         stable
Math_Finance               1.0.0       stable
Math_Integer               0.8         stable
Math_Numerical_RootFinding 1.0.0       stable
Net_DIME                   1.0.1       stable
Net_SMTP                   1.3.2       stable
Net_Socket                 1.0.9       stable
Net_URL                    1.0.15      stable
Numbers_Roman              1.0.2       stable
OLE                        1.0.0RC1    beta
PEAR                       1.7.2       stable
PEAR_PackageFileManager    1.6.3       stable
PHPDoc                     0.1.0       beta
PHPUnit                    1.3.2       stable
PHPUnit2                   2.3.6       stable
PHP_Beautifier             0.1.14      beta
PHP_Compat                 1.5.0       stable
PHP_CompatInfo             1.8.1       stable
Pager                      2.4.7       stable
Phing                      2.3.3       stable
PhpDocumentor              1.4.2       stable
SOAP                       0.12.0      beta
SQL_Parser                 0.5         devel
Services_Akismet           1.0.1       stable
Services_Amazon            0.7.1       beta
Services_Blogging          0.2.3       beta
Services_Google            0.2.0       alpha
Services_YouTube           0.2.1       alpha
Structures_Graph           1.0.2       stable
System_Folders             1.0.0       stable
Testing_Selenium           0.4.3       beta
Text_Diff                  1.1.0       stable
Text_Wiki                  1.2.0       stable
Translation2               2.0.1       stable
Var_Dump                   1.0.3       stable
VersionControl_SVN         0.3.1       alpha
XML_Beautifier             1.2.0       stable
XML_HTMLSax3               3.0.0       stable
XML_Parser                 1.3.1       stable
XML_RPC                    1.5.1       stable
XML_RPC2                   1.0.5       stable
XML_Serializer             0.19.1      beta
XML_Util                   1.2.1       stable
XML_fo2pdf                 0.98        stable
XML_sql2xml                0.3.4       beta
